Insight,Variable 1,Variable 2,Direction,Pearson r,Pearson p,Pearson q (BH-FDR),Spearman rho,Spearman p,Effect size,Reporting note
Higher intention to leave is associated with higher work withdrawal / mental-health-day impact.,intention to leave,work withdrawal / mental-health-day impact,increases together,0.7713,0.0,0.0,0.7506,0.0,Large,Association only; this does not establish causation.
Higher PHQ-9 depression score is associated with higher GAD-7 anxiety score.,PHQ-9 depression score,GAD-7 anxiety score,increases together,0.7586,0.0,0.0,0.763,0.0,Large,Association only; this does not establish causation.
Higher second victim emotional impact is associated with higher performance impact.,second victim emotional impact,performance impact,increases together,0.7273,0.0,0.0,0.7521,0.0,Large,Association only; this does not establish causation.
Higher performance impact is associated with higher work withdrawal / mental-health-day impact.,performance impact,work withdrawal / mental-health-day impact,increases together,0.7027,0.0,0.0,0.7066,0.0,Large,Association only; this does not establish causation.
Higher performance impact is associated with higher intention to leave.,performance impact,intention to leave,increases together,0.6384,0.0,0.0,0.6585,0.0,Large,Association only; this does not establish causation.
Higher second victim emotional impact is associated with higher support resource need.,second victim emotional impact,support resource need,increases together,0.6378,0.0,0.0,0.6181,0.0,Large,Association only; this does not establish causation.
Higher GAD-7 anxiety score is associated with higher second victim emotional impact.,GAD-7 anxiety score,second victim emotional impact,increases together,0.6093,0.0,0.0,0.6098,0.0,Large,Association only; this does not establish causation.
Higher second victim emotional impact is associated with higher intention to leave.,second victim emotional impact,intention to leave,increases together,0.5915,0.0,0.0,0.5834,0.0,Large,Association only; this does not establish causation.
Higher second victim emotional impact is associated with higher work withdrawal / mental-health-day impact.,second victim emotional impact,work withdrawal / mental-health-day impact,increases together,0.5828,0.0,0.0,0.5955,0.0,Large,Association only; this does not establish causation.
Higher performance impact is associated with higher burnout.,performance impact,burnout,increases together,0.5641,0.0,0.0,0.5338,0.0,Large,Association only; this does not establish causation.
Higher GAD-7 anxiety score is associated with higher performance impact.,GAD-7 anxiety score,performance impact,increases together,0.5569,0.0,0.0,0.5196,0.0,Large,Association only; this does not establish causation.
Higher work withdrawal / mental-health-day impact is associated with higher support resource need.,work withdrawal / mental-health-day impact,support resource need,increases together,0.5552,0.0,0.0,0.5102,0.0,Large,Association only; this does not establish causation.
Higher peer support is associated with lower performance impact.,peer support,performance impact,inverse relationship,-0.5251,0.0,0.0,-0.5196,0.0,Large,Association only; this does not establish causation.
Higher second victim emotional impact is associated with higher burnout.,second victim emotional impact,burnout,increases together,0.5196,0.0,0.0,0.5031,0.0,Large,Association only; this does not establish causation.
Higher performance impact is associated with higher support resource need.,performance impact,support resource need,increases together,0.5175,0.0,0.0,0.5029,0.0,Large,Association only; this does not establish causation.
Higher PHQ-9 depression score is associated with higher second victim emotional impact.,PHQ-9 depression score,second victim emotional impact,increases together,0.5122,0.0,0.0,0.5515,0.0,Large,Association only; this does not establish causation.
Higher supervisor support is associated with higher professional growth.,supervisor support,professional growth,increases together,0.5093,0.0,0.0,0.4839,0.0,Large,Association only; this does not establish causation.
Higher PHQ-9 depression score is associated with higher performance impact.,PHQ-9 depression score,performance impact,increases together,0.5085,0.0,0.0,0.507,0.0,Large,Association only; this does not establish causation.
Higher intention to leave is associated with higher support resource need.,intention to leave,support resource need,increases together,0.5029,0.0,0.0,0.464,0.0,Large,Association only; this does not establish causation.
Higher GAD-7 anxiety score is associated with higher burnout.,GAD-7 anxiety score,burnout,increases together,0.4991,0.0,0.0,0.4797,0.0,Moderate,Association only; this does not establish causation.
Higher PHQ-9 depression score is associated with higher work withdrawal / mental-health-day impact.,PHQ-9 depression score,work withdrawal / mental-health-day impact,increases together,0.4871,0.0,0.0,0.4162,0.0,Moderate,Association only; this does not establish causation.
Higher intention to leave is associated with higher burnout.,intention to leave,burnout,increases together,0.4833,0.0,0.0,0.4453,0.0,Moderate,Association only; this does not establish causation.
Higher GAD-7 anxiety score is associated with higher support resource need.,GAD-7 anxiety score,support resource need,increases together,0.479,0.0,0.0,0.4163,0.0,Moderate,Association only; this does not establish causation.
Higher PHQ-9 depression score is associated with higher support resource need.,PHQ-9 depression score,support resource need,increases together,0.4745,0.0,0.0,0.452,0.0,Moderate,Association only; this does not establish causation.
Higher work withdrawal / mental-health-day impact is associated with higher burnout.,work withdrawal / mental-health-day impact,burnout,increases together,0.4607,0.0,0.0,0.4513,0.0,Moderate,Association only; this does not establish causation.
Higher GAD-7 anxiety score is associated with higher work withdrawal / mental-health-day impact.,GAD-7 anxiety score,work withdrawal / mental-health-day impact,increases together,0.4441,0.0,0.0,0.3654,0.0002,Moderate,Association only; this does not establish causation.
