Priority,Category,Relationship insight,Evidence,Interpretation
1,Dataset,The cleaned dataset has complete values for the main analysis traits.,N=99; PHQ-9 >=10: 13.1%; GAD-7 >=10: 12.1%.,Use this workbook for relationship-oriented reporting; findings are exploratory associations.
2,Correlation,Higher intention to leave is associated with higher work withdrawal / mental-health-day impact.,Pearson r=0.771; p=<0.001; Spearman rho=0.751; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
2,Correlation,Higher PHQ-9 depression score is associated with higher GAD-7 anxiety score.,Pearson r=0.759; p=<0.001; Spearman rho=0.763; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
2,Correlation,Higher second victim emotional impact is associated with higher performance impact.,Pearson r=0.727; p=<0.001; Spearman rho=0.752; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
2,Correlation,Higher performance impact is associated with higher work withdrawal / mental-health-day impact.,Pearson r=0.703; p=<0.001; Spearman rho=0.707; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
2,Correlation,Higher performance impact is associated with higher intention to leave.,Pearson r=0.638; p=<0.001; Spearman rho=0.658; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
2,Correlation,Higher second victim emotional impact is associated with higher support resource need.,Pearson r=0.638; p=<0.001; Spearman rho=0.618; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
2,Correlation,Higher GAD-7 anxiety score is associated with higher second victim emotional impact.,Pearson r=0.609; p=<0.001; Spearman rho=0.610; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
2,Correlation,Higher second victim emotional impact is associated with higher intention to leave.,Pearson r=0.592; p=<0.001; Spearman rho=0.583; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
2,Correlation,Higher second victim emotional impact is associated with higher work withdrawal / mental-health-day impact.,Pearson r=0.583; p=<0.001; Spearman rho=0.596; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
2,Correlation,Higher performance impact is associated with higher burnout.,Pearson r=0.564; p=<0.001; Spearman rho=0.534; direction=increases together.,"These two traits move together in the cleaned data, but the relationship is not causal evidence."
3,Linear regression,Higher second victim emotional impact predicts higher performance impact.,"B=0.500; HC3 robust p=<0.001; 95% CI [0.298, 0.701]; adjusted R2=0.609.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher age predicts lower burnout.,"B=-0.035; HC3 robust p=<0.001; 95% CI [-0.052, -0.018]; adjusted R2=0.366.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher second victim emotional impact predicts higher GAD-7 anxiety score.,"B=2.700; HC3 robust p=<0.001; 95% CI [1.310, 4.089]; adjusted R2=0.395.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher second victim emotional impact predicts higher burnout.,"B=0.253; HC3 robust p=<0.001; 95% CI [0.113, 0.393]; adjusted R2=0.366.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher performance impact predicts higher intention to leave.,"B=0.502; HC3 robust p=<0.001; 95% CI [0.214, 0.790]; adjusted R2=0.501.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher organisational support predicts higher performance impact.,"B=0.200; HC3 robust p=0.0025; 95% CI [0.072, 0.329]; adjusted R2=0.609.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher second victim emotional impact predicts higher PHQ-9 depression score.,"B=2.286; HC3 robust p=0.0143; 95% CI [0.468, 4.105]; adjusted R2=0.251.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher organisational support predicts lower intention to leave.,"B=-0.208; HC3 robust p=0.0214; 95% CI [-0.385, -0.032]; adjusted R2=0.501.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher burnout predicts higher performance impact.,"B=0.317; HC3 robust p=0.0356; 95% CI [0.022, 0.612]; adjusted R2=0.609.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher burnout predicts higher GAD-7 anxiety score.,"B=1.757; HC3 robust p=0.0358; 95% CI [0.119, 3.394]; adjusted R2=0.395.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher burnout predicts higher intention to leave.,"B=0.264; HC3 robust p=0.0439; 95% CI [0.007, 0.521]; adjusted R2=0.501.",This relationship remains after adjustment for the other predictors in that model.
3,Linear regression,Higher supervisor support predicts lower performance impact.,"B=-0.211; HC3 robust p=0.0463; 95% CI [-0.419, -0.004]; adjusted R2=0.609.",This relationship remains after adjustment for the other predictors in that model.
4,Association test,specialization is associated with differences in GAD-7 category.,Chi-square; p=0.0035; effect size=0.527; FDR significant=No.,Use subgroup means in High_Risk_Segments before interpreting which group is elevated.
4,Association test,designation is associated with differences in intention to leave.,Kruskal-Wallis; p=0.0040; effect size=0.159; FDR significant=No.,Use subgroup means in High_Risk_Segments before interpreting which group is elevated.
4,Association test,designation is associated with differences in peer support.,Kruskal-Wallis; p=0.0065; effect size=0.145; FDR significant=No.,Use subgroup means in High_Risk_Segments before interpreting which group is elevated.
4,Association test,designation is associated with differences in organisational support.,Kruskal-Wallis; p=0.0092; effect size=0.134; FDR significant=No.,Use subgroup means in High_Risk_Segments before interpreting which group is elevated.
4,Association test,specialization is associated with differences in organisational support.,Kruskal-Wallis; p=0.0120; effect size=0.163; FDR significant=No.,Use subgroup means in High_Risk_Segments before interpreting which group is elevated.
4,Association test,designation is associated with differences in performance impact.,Kruskal-Wallis; p=0.0126; effect size=0.125; FDR significant=No.,Use subgroup means in High_Risk_Segments before interpreting which group is elevated.
4,Association test,specialization is associated with differences in support resource need.,Kruskal-Wallis; p=0.0397; effect size=0.117; FDR significant=No.,Use subgroup means in High_Risk_Segments before interpreting which group is elevated.
4,Association test,designation is associated with differences in GAD-7 anxiety score.,Kruskal-Wallis; p=0.0476; effect size=0.083; FDR significant=No.,Use subgroup means in High_Risk_Segments before interpreting which group is elevated.
5,High-risk segment,specialization=Ophthalmology has elevated PHQ-9 depression score.,N=5; segment mean=7.40; overall mean=4.39; difference=3.01.,Descriptive segment insight; smaller groups should be interpreted cautiously.
5,High-risk segment,designation=Post Graduate has elevated GAD-7 anxiety score.,N=22; segment mean=6.45; overall mean=4.21; difference=2.24.,Descriptive segment insight; smaller groups should be interpreted cautiously.
5,High-risk segment,specialization=Ophthalmology has elevated GAD-7 anxiety score.,N=5; segment mean=5.60; overall mean=4.21; difference=1.39.,Descriptive segment insight; smaller groups should be interpreted cautiously.
5,High-risk segment,designation=Nursing Officer has elevated PHQ-9 depression score.,N=9; segment mean=5.33; overall mean=4.39; difference=0.95.,Descriptive segment insight; smaller groups should be interpreted cautiously.
5,High-risk segment,specialization=Pediatrics has elevated GAD-7 anxiety score.,N=8; segment mean=5.12; overall mean=4.21; difference=0.91.,Descriptive segment insight; smaller groups should be interpreted cautiously.
5,High-risk segment,specialization=Obstetrics and Gynaecology has elevated PHQ-9 depression score.,N=11; segment mean=5.27; overall mean=4.39; difference=0.89.,Descriptive segment insight; smaller groups should be interpreted cautiously.
5,High-risk segment,designation=Nurse has elevated PHQ-9 depression score.,N=11; segment mean=5.18; overall mean=4.39; difference=0.79.,Descriptive segment insight; smaller groups should be interpreted cautiously.
5,High-risk segment,specialization=Pediatrics has elevated PHQ-9 depression score.,N=8; segment mean=5.17; overall mean=4.39; difference=0.78.,Descriptive segment insight; smaller groups should be interpreted cautiously.
